,UE ID,Cell object ID,Timestamp,Number of active UEs,RRC Event,UE Performance Measurement type,Neighbor cells SINR,Neighbor cell physical cell ID,Test ID
0,b'00003',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,5.0,4
1,b'00003',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,2.0,4
2,b'00003',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
3,b'00005',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,5.0,4
4,b'00005',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,4
5,b'00005',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
6,b'00004',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
7,b'00004',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
8,b'00006',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
9,b'00007',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,4
10,b'00007',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
11,b'00007',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
12,b'00009',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,3.0,4
13,b'00009',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
14,b'00006',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,10.0,5.0,4
15,b'00004',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,54.0,5.0,4
16,b'00011',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,3.0,4
17,b'00009',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
18,b'00011',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,5.0,4
19,b'00011',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
20,b'00006',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
21,b'00001',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,4.0,4
22,b'00001',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
23,b'00002',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,3.0,4
24,b'00002',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,4
25,b'00002',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,5.0,2.0,4
26,b'00010',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,4.0,4
27,b'00010',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,2.0,4
28,b'00012',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,45.0,2.0,4
29,b'00010',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
30,b'00012',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
31,b'00001',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,2.0,4
32,b'00012',NRCellCU,1700747080.043332,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,41.0,3.0,4
33,b'00011',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,3.0,4
34,b'00011',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,5.0,4
