,UE ID,Cell object ID,Timestamp,Number of active UEs,RRC Event,UE Performance Measurement type,Neighbor cells SINR,Neighbor cell physical cell ID,Test ID
0,b'00001',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,1
1,b'00001',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,2.0,1
2,b'00002',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,3.0,1
3,b'00002',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,2.0,1
4,b'00010',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,33.0,4.0,1
5,b'00002',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,1
6,b'00010',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,2.0,1
7,b'00010',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,1
8,b'00003',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,3.0,1
9,b'00012',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,44.0,2.0,1
10,b'00012',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,41.0,3.0,1
11,b'00003',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,2.0,1
12,b'00003',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
13,b'00001',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,1
14,b'00012',NRCellCU,0.0,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
15,b'00003',NRCellCU,0.05553412437438965,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,5.0,1
16,b'00005',NRCellCU,0.05553412437438965,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,13.0,5.0,1
17,b'00005',NRCellCU,0.05553412437438965,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,1
18,b'00005',NRCellCU,0.05553412437438965,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
19,b'00003',NRCellCU,0.05553412437438965,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
20,b'00003',NRCellCU,0.05553412437438965,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,2.0,1
21,b'00004',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
22,b'00004',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,54.0,5.0,1
23,b'00006',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,1
24,b'00007',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,1
25,b'00006',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
26,b'00007',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,1
27,b'00007',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,1
28,b'00009',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,1
29,b'00009',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,3.0,1
30,b'00004',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,1
31,b'00006',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,5.0,1
32,b'00011',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
33,b'00009',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,1
34,b'00011',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,5.0,1
35,b'00011',NRCellCU,0.14865732192993164,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,3.0,1
36,b'00010',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,1
37,b'00001',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,4.0,1
38,b'00002',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,3.0,1
39,b'00002',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,2.0,1
40,b'00002',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,1
41,b'00010',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,4.0,1
42,b'00010',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,2.0,1
43,b'00003',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,2.0,1
44,b'00003',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,3.0,1
45,b'00003',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
46,b'00012',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,1
47,b'00012',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,33.0,3.0,1
48,b'00012',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
49,b'00001',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,3.0,1
50,b'00001',NRCellCU,24.35901689529419,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,2.0,1
51,b'00011',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,19.0,5.0,1
52,b'00011',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
53,b'00005',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,1
54,b'00005',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,5.0,1
55,b'00007',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,4.0,1
56,b'00006',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,1
57,b'00006',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,1
58,b'00006',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,5.0,1
59,b'00007',NRCellCU,24.435463428497314,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,1
