,Original index,list-of-matched-UEs.ueId,cellObjectID,timestamp,pm-Containers.numberOfActive-UEs,list-of-matched-UEs.rrcEvent,list-of-matched-UEs.pmType,list-of-matched-UEs.measResultNeighCells.resultsSSB-Cell.sinr,list-of-matched-UEs.measResultNeighCells.physCellId,Test ID
0,2,b'00003',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,5.0,4
1,3,b'00003',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,2.0,4
2,4,b'00003',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
3,5,b'00005',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,4
4,6,b'00005',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,5.0,4
5,7,b'00005',NRCellCU,1700747079.9044664,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
6,15,b'00004',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,54.0,5.0,4
7,16,b'00004',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
8,17,b'00004',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
9,18,b'00006',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,10.0,5.0,4
10,19,b'00006',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
11,20,b'00006',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
12,21,b'00007',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,4
13,22,b'00007',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
14,23,b'00007',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
15,24,b'00009',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,3.0,4
16,25,b'00009',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
17,26,b'00009',NRCellCU,1700747079.974839,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
