,Original index,pm-Containers.pLMN-Identity,list-of-matched-UEs.ueId,cellObjectID,timestamp,list-of-matched-UEs.pmType,pm-Containers.QCI,pm-Containers.dl-PRBUsage,pm-Containers.ul-PRBUsage,pm-Containers.dl-TotalofAvailablePRBs,pm-Containers.ul-TotalofAvailablePRBs,pm-Containers.nRCGI.nRCellIdentity,list-of-matched-UEs.pmVal,Test ID
0,8,b'111',b'00005',1113,1700747079.9141967,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'48\x00\xb4 ',0.0,4
1,9,b'111',b'00003',1113,1700747079.9141967,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'48\x00\xb4 ',0.0,4
2,30,b'111',b'00004',1112,1700747079.987642,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'32\x00\xb5 ',0.0,4
3,31,b'111',b'00006',1112,1700747079.987642,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'32\x00\xb5 ',0.0,4
4,32,b'111',b'00011',1112,1700747079.987642,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'32\x00\xb5 ',0.0,4
5,33,b'111',b'00009',1112,1700747079.987642,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'32\x00\xb5 ',0.0,4
6,34,b'111',b'00007',1112,1700747079.987642,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'32\x00\xb5 ',0.0,4
7,51,b'111',b'00002',1115,1700747080.0558832,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'80\x00\xaf ',0.0,4
8,52,b'111',b'00012',1115,1700747080.0558832,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'80\x00\xaf ',0.0,4
9,53,b'111',b'00001',1115,1700747080.0558832,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'80\x00\xaf ',0.0,4
10,54,b'111',b'00010',1115,1700747080.0558832,DRB.UEThpDl.UEID,-1.0,0.0,0.0,139.0,139.0,b'80\x00\xaf ',0.0,4
11,84,b'111',b'00004',1112,1700747108.2774477,DRB.UEThpDl.UEID,-1.0,70.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',467.0,4
12,85,b'111',b'00005',1112,1700747108.2774477,DRB.UEThpDl.UEID,-1.0,70.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',177.0,4
13,86,b'111',b'00011',1112,1700747108.2774477,DRB.UEThpDl.UEID,-1.0,70.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',188.0,4
14,87,b'111',b'00007',1112,1700747108.2774477,DRB.UEThpDl.UEID,-1.0,70.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',889.0,4
15,88,b'111',b'00009',1112,1700747108.2774477,DRB.UEThpDl.UEID,-1.0,70.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',965.0,4
16,89,b'111',b'00006',1112,1700747108.2774477,DRB.UEThpDl.UEID,-1.0,70.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',947.0,4
17,105,b'111',b'00012',1115,1700747108.3475182,DRB.UEThpDl.UEID,-1.0,64.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',213.0,4
18,106,b'111',b'00001',1115,1700747108.3475182,DRB.UEThpDl.UEID,-1.0,64.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1091.0,4
19,107,b'111',b'00003',1115,1700747108.3475182,DRB.UEThpDl.UEID,-1.0,64.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',354.0,4
20,108,b'111',b'00002',1115,1700747108.3475182,DRB.UEThpDl.UEID,-1.0,64.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',5155.0,4
21,109,b'111',b'00010',1115,1700747108.3475182,DRB.UEThpDl.UEID,-1.0,64.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',13836.0,4
22,142,b'111',b'00009',1112,1700747132.6028235,DRB.UEThpDl.UEID,-1.0,82.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',876.0,4
23,143,b'111',b'00007',1112,1700747132.6028235,DRB.UEThpDl.UEID,-1.0,82.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1107.0,4
24,144,b'111',b'00006',1112,1700747132.6028235,DRB.UEThpDl.UEID,-1.0,82.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',872.0,4
25,145,b'111',b'00011',1112,1700747132.6028235,DRB.UEThpDl.UEID,-1.0,82.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',411.0,4
26,146,b'111',b'00005',1112,1700747132.6028235,DRB.UEThpDl.UEID,-1.0,82.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',10078.0,4
27,147,b'111',b'00012',1112,1700747132.6028235,DRB.UEThpDl.UEID,-1.0,82.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',187.0,4
28,148,b'111',b'00004',1112,1700747132.6028235,DRB.UEThpDl.UEID,-1.0,82.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',452.0,4
29,161,b'111',b'00010',1115,1700747132.6831882,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',17186.0,4
30,162,b'111',b'00003',1115,1700747132.6831882,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',351.0,4
31,163,b'111',b'00001',1115,1700747132.6831882,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1226.0,4
32,164,b'111',b'00002',1115,1700747132.6831882,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',6588.0,4
33,197,b'111',b'00011',1112,1700747160.9292078,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1233.0,4
34,198,b'111',b'00005',1112,1700747160.9292078,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',10078.0,4
